"Location";"Pop_total"
"222";"Lao People's Democratic Republic";7.275556
"223";"Latin America and the Caribbean";653.962332
"224";"Latin American Integration Association (ALADI)";573.658551
"225";"Latin American and Caribbean Group (GRULAC)";649.376323
"226";"Latvia";1.886202
"227";"League of Arab States (LAS, informal name: Arab League)";436.378875
"228";"Least developed countries";1057.438163
"229";"Least developed: Africa";701.835489
"230";"Least developed: Asia";343.074875
"231";"Least developed: Latin America and the Caribbean";11.402533
"232";"Least developed: Oceania";1.125266
"233";"Lebanon";6.825442
"234";"Lesotho";2.142252
"235";"Less developed regions";6521.494468
"236";"Less developed regions, excluding China";5050.207589
"237";"Less developed regions, excluding least developed countries";5464.056305
"238";"Less developed: Africa";1340.598113
"239";"Less developed: Asia";4514.578328
"240";"Less developed: Latin America and the Caribbean";653.962332
"241";"Less developed: Oceania";12.355695
"242";"Liberia";5.057677
"243";"Libya";6.871287
"244";"Lithuania";2.722291
"245";"Low-income countries";775.710612
"246";"Lower-middle-income countries";3098.235284
"247";"Luxembourg";0.625976
"248";"Madagascar";27.691019
"249";"Malawi";19.129955
"250";"Malaysia";32.365998
"251";"Maldives";0.540542
"252";"Mali";20.250834
"253";"Malta";0.441539
"254";"Martinique";0.375265
"255";"Mauritania";4.64966
"256";"Mauritius";1.271767
"257";"Mayotte";0.272813
"258";"Melanesia";11.12299
"259";"Mexico";128.932753
"260";"Micronesia";0.548927
"261";"Micronesia (Fed. States of)";0.115021
"262";"Middle Africa";179.595125
"263";"Middle-income countries";5753.051615
"264";"Mongolia";3.278292
"265";"Montenegro";0.628062
"266";"More developed regions";1273.304261
"267";"More developed: Asia";126.476458
"268";"More developed: Europe";747.636045
"269";"More developed: Northern America";368.869644
"270";"More developed: Oceania";30.322114
"271";"Morocco";36.910558
"272";"Mozambique";31.255435
"273";"Myanmar";54.409794
"274";"Namibia";2.540916
"275";"Nepal";29.136808
"276";"Netherlands";17.134873
"277";"Netherlands (and dependencies)";17.474842
"278";"New Caledonia";0.285491
"279";"New EU member states (joined since 2004)";103.629839
"280";"New Zealand";4.822233
"281";"New Zealand (and dependencies)";4.842765
"282";"Nicaragua";6.624554
"283";"Niger";24.206636
"284";"Nigeria";206.139587
"285";"No income group available";2.943568
"286";"Non-Self-Governing Territories";1.753672
"287";"North American Free Trade Agreement (NAFTA)";497.677557
"288";"North Atlantic Treaty Organization (NATO)";944.255667
"289";"North Macedonia";2.08338
"290";"Northern Africa";246.232508
"291";"Northern Africa and Western Asia";525.869282
"292";"Northern America";368.869644
"293";"Northern Europe";106.261271
"294";"Norway";5.421242
"295";"Oceania";42.677809
"296";"Oceania (excluding Australia and New Zealand)";12.355695
"297";"Oman";5.106622
"298";"Organisation for Economic Co-operation and Development (OECD)";1313.46947
"299";"Organization for Security and Co-operation in Europe (OSCE)";1296.294632
"300";"Organization of American States (OAS)";1018.121127
"301";"Organization of Petroleum Exporting countries (OPEC)";518.144279
"302";"Organization of the Islamic Conference (OIC)";1907.530488
"303";"Pakistan";220.892331
"304";"Panama";4.314768
"305";"Papua New Guinea";8.947027
"306";"Paraguay";7.13253
"307";"Peru";32.971846
"308";"Philippines";109.581085
"309";"Poland";37.846605
"310";"Polynesia";0.683778
"311";"Portugal";10.196707
"312";"Puerto Rico";2.86084
"313";"Qatar";2.88106
"314";"Republic of Korea";51.269183
"315";"Republic of Moldova";4.033963
"316";"Romania";19.237682
"317";"Russian Federation";145.93446
"318";"Rwanda";12.952209
"319";"Réunion";0.895308
"320";"SIDS Atlantic, and Indian Ocean, Mediterranean and South China Sea (AIMS)";16.226846
"321";"SIDS Caribbean";43.506153
"322";"SIDS Pacific";12.343099
"323";"Saint Lucia";0.183629
"324";"Saint Vincent and the Grenadines";0.110947
"325";"Samoa";0.19841
"326";"Sao Tome and Principe";0.219161
"327";"Saudi Arabia";34.813867
"328";"Senegal";16.74393
"329";"Serbia";8.73737
"330";"Seychelles";0.09834
"331";"Shanghai Cooperation Organization (SCO)";3254.462689
"332";"Sierra Leone";7.976985
"333";"Singapore";5.850343
"334";"Slovakia";5.459643
"335";"Slovenia";2.078932
"336";"Small Island Developing States (SIDS)";72.076098
"337";"Solomon Islands";0.686878
"338";"Somalia";15.893219
"339";"South Africa";59.30869
"340";"South America";430.759772
"341";"South Asian Association for Regional Cooperation (SAARC)";1856.376652
"342";"South Sudan";11.193729
"343";"South-Eastern Asia";668.619854
"344";"Southern Africa";67.503647
"345";"Southern African Development Community (SADC)";363.228526
"346";"Southern Asia";1940.369605
"347";"Southern Common Market (MERCOSUR)";308.470415
"348";"Southern Europe";152.215243
"349";"Spain";46.754783
"350";"Sri Lanka";21.41325
"351";"State of Palestine";5.101416
"352";"Sub-Saharan Africa";1094.365605
"353";"Sudan";43.849269
"354";"Suriname";0.586634
"355";"Sweden";10.09927
"356";"Switzerland";8.654618
"357";"Syrian Arab Republic";17.500657
"358";"Tajikistan";9.537642
"359";"Thailand";69.799978
"360";"Timor-Leste";1.318442
"361";"Togo";8.278737
"362";"Tonga";0.105697
"363";"Trinidad and Tobago";1.399491
"364";"Tunisia";11.818618
"365";"Turkey";84.339067
"366";"Turkmenistan";6.031187
"367";"UN-ECE: member countries";1301.671072
"368";"UNFPA Regions";6435.966035
"369";"UNFPA: Arab States (AS)";377.302147
"370";"UNFPA: Asia and the Pacific (AP)";4082.579031
"371";"UNFPA: East and Southern Africa (ESA)";617.189215
"372";"UNFPA: Eastern Europe and Central Asia (EECA)";249.965985
"373";"UNFPA: Latin America and the Caribbean (LAC)";649.90702
"374";"UNFPA: West and Central Africa (WCA)";459.022637
"375";"UNICEF PROGRAMME REGIONS";6518.336209
"376";"UNICEF Programme Regions: East Asia and Pacific (EAPRO)";2142.209426
"377";"UNICEF Programme Regions: Eastern Caribbean";2.406024
"378";"UNICEF Programme Regions: Eastern and Southern Africa (ESARO)";542.249263
"379";"UNICEF Programme Regions: Europe and Central Asia (CEECIS)";280.885442
"380";"UNICEF Programme Regions: Latin America";646.666007
"381";"UNICEF Programme Regions: Latin America and Caribbean (LACRO)";649.072031
"382";"UNICEF Programme Regions: Middle East and North Africa (MENARO)";498.959354
"383";"UNICEF Programme Regions: South Asia (ROSA)";1856.376652
"384";"UNICEF Programme Regions: West and Central Africa (WCARO)";548.584041
"385";"UNICEF REGIONS";7794.798729
"386";"UNICEF Regions: East Asia and Pacific";2389.38729
"387";"UNICEF Regions: Eastern Europe and Central Asia";426.819902
"388";"UNICEF Regions: Eastern and Southern Africa";589.624762
"389";"UNICEF Regions: Europe and Central Asia";924.612983
"390";"UNICEF Regions: Latin America and Caribbean";653.962332
"391";"UNICEF Regions: Middle East and North Africa";463.374954
"392";"UNICEF Regions: North America";368.869644
"393";"UNICEF Regions: South Asia";1856.376652
"394";"UNICEF Regions: Sub-Saharan Africa";1138.214874
"395";"UNICEF Regions: West and Central Africa";548.590112
"396";"UNICEF Regions: Western Europe";497.793081
"397";"UNITED NATIONS Regional Groups of Member States";7789.099185
"398";"Uganda";45.741
"399";"Ukraine";43.733759
"400";"United Arab Emirates";9.8904
"401";"United Kingdom";67.886004
"402";"United Kingdom (and dependencies)";68.405089
"403";"United Nations Economic Commission for Africa (UN-ECA)";1338.826591
"404";"United Nations Economic Commission for Latin America and the Caribbean (UN-ECLAC)";653.958849
"405";"United Nations Economic and Social Commission for Asia and the Pacific (UN-ESCAP) Regions";4627.631561
"406";"United Nations Member States";7789.099174
"407";"United Republic of Tanzania";59.734213
"408";"United States Virgin Islands";0.104423
"409";"United States of America";331.002647
"410";"United States of America (and dependencies)";334.249447
"411";"Upper-middle-income countries";2654.816331
"412";"Uruguay";3.473727
"413";"Uzbekistan";33.469199
"414";"Vanuatu";0.30715
"415";"Venezuela (Bolivarian Republic of)";28.435943
"416";"Viet Nam";97.338583
"417";"WB region: East Asia and Pacific (excluding high income)";2142.225999
"418";"WB region: Europe and Central Asia (excluding high income)";422.714634
"419";"WB region: Latin America and Caribbean (excluding high income)";575.044612
"420";"WB region: Middle East and North Africa (excluding high income)";396.44599
"421";"WB region: South Asia (excluding high income)";1856.376652
"422";"WB region: Sub-Saharan Africa (excluding high income)";1135.95434
"423";"WHO Regions";7750.010916
"424";"WHO: African region (AFRO)";1120.161235
"425";"WHO: Americas (AMRO)";1018.121127
